image_file,title,true_author,original_prediction,original_confidence,elastic_prediction,elastic_confidence,still_correct
09651-03barber.jpg,Ceiling vault (centre part),"CORTONA, Pietro da","CORTONA, Pietro da",0.3041805624961853,"CORTONA, Pietro da",0.2859903872013092,True
12270-verso14.jpg,Christ Before King Herod (scene 14),DUCCIO di Buoninsegna,DUCCIO di Buoninsegna,0.3084522783756256,DUCCIO di Buoninsegna,0.29752349853515625,True
10183-3samson1.jpg,Samson and Delilah,"CRANACH, Lucas the Elder","CRANACH, Lucas the Elder",0.3070199489593506,"CORTONA, Pietro da",0.3030560314655304,False
14968-tahiti14.jpg,What's New? (Parau Api),"GAUGUIN, Paul","GAUGUIN, Paul",0.3492152094841003,"GAUGUIN, Paul",0.32230430841445923,True
07480-13fligh.jpg,Rest on Flight to Egypt,CARAVAGGIO,CARAVAGGIO,0.3110754489898681,"FRAGONARD, Jean-Honoré",0.3456401824951172,False
02526-9basket1.jpg,Reversible Head with Basket of Fruit,"ARCIMBOLDO, Giuseppe","ARCIMBOLDO, Giuseppe",0.4175887703895569,"ARCIMBOLDO, Giuseppe",0.4137416481971741,True
39395-3flight.jpg,The Flight into Egypt,TINTORETTO,TINTORETTO,0.3316062688827514,"FRAGONARD, Jean-Honoré",0.32451382279396057,False
30846-trinity.jpg,Trinity and Six Saints,"PERUGINO, Pietro","PERUGINO, Pietro",0.3047915697097778,GIOTTO di Bondone,0.29950594902038574,False
40035-cabare01.jpg,At the Moulin Rouge,"TOULOUSE-LAUTREC, Henri de","TOULOUSE-LAUTREC, Henri de",0.3216060996055603,"TOULOUSE-LAUTREC, Henri de",0.30400824546813965,True
07593-55flagel.jpg,Flagellation,CARAVAGGIO,CARAVAGGIO,0.3323410153388977,"GOYA Y LUCIENTES, Francisco de",0.3146932125091553,False
34035-2renoi16.jpg,Dance in the Moulin de la Galette,"RENOIR, Pierre-Auguste","RENOIR, Pierre-Auguste",0.3531373143196106,"RENOIR, Pierre-Auguste",0.3136712610721588,True
23813-5dejeun1.jpg,Luncheon on the Grass (Le Déjeuner sur l'herbe),"MANET, Edouard","MANET, Edouard",0.3053507208824157,"MANET, Edouard",0.30903205275535583,True
39249-05assum.jpg,Assumption of the Virgin,TINTORETTO,TINTORETTO,0.3339872658252716,TINTORETTO,0.32226186990737915,True
26040-13john4.jpg,St John Altarpiece (closed),"MEMLING, Hans","MEMLING, Hans",0.3168686330318451,PINTURICCHIO,0.2737496495246887,False
14471-403fried.jpg,The Watzmann,"FRIEDRICH, Caspar David","FRIEDRICH, Caspar David",0.2947808504104614,"GUARDI, Francesco",0.27653980255126953,False
12211-pre_f_3x.jpg,The Prophet Solomon (prophet 3),DUCCIO di Buoninsegna,DUCCIO di Buoninsegna,0.3253883421421051,DUCCIO di Buoninsegna,0.29447704553604126,True
29306-314muril.jpg,The Two Trinities,"MURILLO, Bartolomé Esteban","MURILLO, Bartolomé Esteban",0.301006019115448,"FRAGONARD, Jean-Honoré",0.330132395029068,False
05240-12ecentr.jpg,Triptych of Haywain (central panel),"BOSCH, Hieronymus","BOSCH, Hieronymus",0.2982008159160614,"BRUEGEL, Pieter the Elder",0.2908872365951538,False
05255-11shipfo.jpg,The Ship of Fools,"BOSCH, Hieronymus","BOSCH, Hieronymus",0.3286560177803039,"GOYA Y LUCIENTES, Francisco de",0.32384511828422546,False
14167-023love.jpg,Love as Folly,"FRAGONARD, Jean-Honoré","FRAGONARD, Jean-Honoré",0.3533582091331482,"FRAGONARD, Jean-Honoré",0.33986255526542664,True
42649-351seat.jpg,Young Woman Seated at the Virginals,"VERMEER, Johannes","VERMEER, Johannes",0.3189917206764221,"VERMEER, Johannes",0.32031047344207764,True
38565-gallery2.jpg,The Gallery of Archduke Leopold in Brussels,"TENIERS, David the Younger","TENIERS, David the Younger",0.285670518875122,"BRUEGHEL, Jan the Elder",0.28280389308929443,False
34019-1renoi20.jpg,Woman with a Parasol in a Garden,"RENOIR, Pierre-Auguste","RENOIR, Pierre-Auguste",0.3269364237785339,"RENOIR, Pierre-Auguste",0.3312346637248993,True
06561-guards_f.jpg,Guards in a Forest Clearing,"BRUEGHEL, Jan the Elder","BRUEGHEL, Jan the Elder",0.3217968046665191,"GUARDI, Francesco",0.30642569065093994,False
30760-2selfpo1.jpg,Perugino's Self-Portrait,"PERUGINO, Pietro","PERUGINO, Pietro",0.3184183537960052,"LORENZETTI, Pietro",0.28998273611068726,False
14982-1paris03.jpg,Ea haere ia oe? (Where Are You Going?),"GAUGUIN, Paul","GAUGUIN, Paul",0.3572686910629272,"GAUGUIN, Paul",0.36072224378585815,True
16444-franc13.jpg,Scenes from the Life of St Francis: 4. Death and Ascension of St Francis,GIOTTO di Bondone,GIOTTO di Bondone,0.3189727962017059,"LORENZETTI, Pietro",0.30144673585891724,False
39040-2homer3.jpg,Eurybates and Talthybios Lead Briseis to Agamemmon,"TIEPOLO, Giovanni Battista","TIEPOLO, Giovanni Battista",0.30487060546875,"TIEPOLO, Giovanni Domenico",0.32295772433280945,False
38576-mad_meg.jpg,Dulle Griet (Mad Meg),"TENIERS, David the Younger","TENIERS, David the Younger",0.3164522051811218,"FRAGONARD, Jean-Honoré",0.3408719599246979,False
16345-virtu_3.jpg,No. 44 The Seven Virtues: Faith,GIOTTO di Bondone,GIOTTO di Bondone,0.3115420937538147,GIOTTO di Bondone,0.26726436614990234,True
35359-01religi.jpg,The Deposition,"RUBENS, Peter Paul","RUBENS, Peter Paul",0.3271503746509552,"FRAGONARD, Jean-Honoré",0.34681370854377747,False
26615-05_4sw.jpg,Ignudo,MICHELANGELO Buonarroti,MICHELANGELO Buonarroti,0.3482703268527984,MICHELANGELO Buonarroti,0.3174952268600464,True
02490-1seaso4.jpg,Winter,"ARCIMBOLDO, Giuseppe","ARCIMBOLDO, Giuseppe",0.3565157353878021,"ARCIMBOLDO, Giuseppe",0.3513258099555969,True
