image_file,title,true_author,original_prediction,original_confidence,grayscale_prediction,grayscale_confidence,still_correct
09651-03barber.jpg,Ceiling vault (centre part),"CORTONA, Pietro da","CORTONA, Pietro da",0.3041805624961853,TINTORETTO,0.280151903629303,False
12270-verso14.jpg,Christ Before King Herod (scene 14),DUCCIO di Buoninsegna,DUCCIO di Buoninsegna,0.3084522783756256,GIOTTO di Bondone,0.2876800298690796,False
10183-3samson1.jpg,Samson and Delilah,"CRANACH, Lucas the Elder","CRANACH, Lucas the Elder",0.3070199489593506,TINTORETTO,0.3090882897377014,False
14968-tahiti14.jpg,What's New? (Parau Api),"GAUGUIN, Paul","GAUGUIN, Paul",0.34921520948410034,"GAUGUIN, Paul",0.30778464674949646,True
07480-13fligh.jpg,Rest on Flight to Egypt,CARAVAGGIO,CARAVAGGIO,0.31107544898986816,TINTORETTO,0.28227072954177856,False
02526-9basket1.jpg,Reversible Head with Basket of Fruit,"ARCIMBOLDO, Giuseppe","ARCIMBOLDO, Giuseppe",0.4175887703895569,"ARCIMBOLDO, Giuseppe",0.36803245544433594,True
39395-3flight.jpg,The Flight into Egypt,TINTORETTO,TINTORETTO,0.33160626888275146,TINTORETTO,0.2941564917564392,True
30846-trinity.jpg,Trinity and Six Saints,"PERUGINO, Pietro","PERUGINO, Pietro",0.30479156970977783,GIOTTO di Bondone,0.2886897027492523,False
40035-cabare01.jpg,At the Moulin Rouge,"TOULOUSE-LAUTREC, Henri de","TOULOUSE-LAUTREC, Henri de",0.3216060996055603,"TOULOUSE-LAUTREC, Henri de",0.3177642226219177,True
07593-55flagel.jpg,Flagellation,CARAVAGGIO,CARAVAGGIO,0.3323410153388977,CARAVAGGIO,0.33139854669570923,True
34035-2renoi16.jpg,Dance in the Moulin de la Galette,"RENOIR, Pierre-Auguste","RENOIR, Pierre-Auguste",0.3531373143196106,"RENOIR, Pierre-Auguste",0.31527191400527954,True
23813-5dejeun1.jpg,Luncheon on the Grass (Le Déjeuner sur l'herbe),"MANET, Edouard","MANET, Edouard",0.30535072088241577,"GAUGUIN, Paul",0.2796107530593872,False
39249-05assum.jpg,Assumption of the Virgin,TINTORETTO,TINTORETTO,0.3339872658252716,TINTORETTO,0.3075016736984253,True
26040-13john4.jpg,St John Altarpiece (closed),"MEMLING, Hans","MEMLING, Hans",0.3168686330318451,"MEMLING, Hans",0.2928684651851654,True
14471-403fried.jpg,The Watzmann,"FRIEDRICH, Caspar David","FRIEDRICH, Caspar David",0.2947808504104614,"FRIEDRICH, Caspar David",0.26205095648765564,True
12211-pre_f_3x.jpg,The Prophet Solomon (prophet 3),DUCCIO di Buoninsegna,DUCCIO di Buoninsegna,0.3253883421421051,GIOTTO di Bondone,0.30425381660461426,False
29306-314muril.jpg,The Two Trinities,"MURILLO, Bartolomé Esteban","MURILLO, Bartolomé Esteban",0.301006019115448,"MURILLO, Bartolomé Esteban",0.2809374928474426,True
