image_file,title,true_author,original_prediction,original_confidence,perspective_prediction,perspective_confidence,still_correct
09651-03barber.jpg,Ceiling vault (centre part),"CORTONA, Pietro da","CORTONA, Pietro da",0.3041805624961853,"CORTONA, Pietro da",0.2904915511608124,True
12270-verso14.jpg,Christ Before King Herod (scene 14),DUCCIO di Buoninsegna,DUCCIO di Buoninsegna,0.3084522783756256,GIOTTO di Bondone,0.29616475105285645,False
10183-3samson1.jpg,Samson and Delilah,"CRANACH, Lucas the Elder","CRANACH, Lucas the Elder",0.3070199489593506,PINTURICCHIO,0.32120996713638306,False
14968-tahiti14.jpg,What's New? (Parau Api),"GAUGUIN, Paul","GAUGUIN, Paul",0.34921520948410034,"GAUGUIN, Paul",0.2971324622631073,True
07480-13fligh.jpg,Rest on Flight to Egypt,CARAVAGGIO,CARAVAGGIO,0.31107544898986816,CARAVAGGIO,0.3111569285392761,True
02526-9basket1.jpg,Reversible Head with Basket of Fruit,"ARCIMBOLDO, Giuseppe","ARCIMBOLDO, Giuseppe",0.4175887703895569,"ARCIMBOLDO, Giuseppe",0.3850380778312683,True
39395-3flight.jpg,The Flight into Egypt,TINTORETTO,TINTORETTO,0.33160626888275146,"FRAGONARD, Jean-Honoré",0.31652969121932983,False
30846-trinity.jpg,Trinity and Six Saints,"PERUGINO, Pietro","PERUGINO, Pietro",0.30479156970977783,GIOTTO di Bondone,0.3087750971317291,False
40035-cabare01.jpg,At the Moulin Rouge,"TOULOUSE-LAUTREC, Henri de","TOULOUSE-LAUTREC, Henri de",0.3216060996055603,"TOULOUSE-LAUTREC, Henri de",0.24678601324558258,True
07593-55flagel.jpg,Flagellation,CARAVAGGIO,CARAVAGGIO,0.3323410153388977,CARAVAGGIO,0.31704288721084595,True
34035-2renoi16.jpg,Dance in the Moulin de la Galette,"RENOIR, Pierre-Auguste","RENOIR, Pierre-Auguste",0.3531373143196106,"RENOIR, Pierre-Auguste",0.3092821538448334,True
23813-5dejeun1.jpg,Luncheon on the Grass (Le Déjeuner sur l'herbe),"MANET, Edouard","MANET, Edouard",0.30535072088241577,"MANET, Edouard",0.2963433265686035,True
39249-05assum.jpg,Assumption of the Virgin,TINTORETTO,TINTORETTO,0.3339872658252716,"VERONESE, Paolo",0.2993662655353546,False
26040-13john4.jpg,St John Altarpiece (closed),"MEMLING, Hans","MEMLING, Hans",0.3168686330318451,"MEMLING, Hans",0.30911344289779663,True
14471-403fried.jpg,The Watzmann,"FRIEDRICH, Caspar David","FRIEDRICH, Caspar David",0.2947808504104614,"RUYSDAEL, Salomon van",0.24593886733055115,False
12211-pre_f_3x.jpg,The Prophet Solomon (prophet 3),DUCCIO di Buoninsegna,DUCCIO di Buoninsegna,0.3253883421421051,DUCCIO di Buoninsegna,0.310774028301239,True
29306-314muril.jpg,The Two Trinities,"MURILLO, Bartolomé Esteban","MURILLO, Bartolomé Esteban",0.301006019115448,"RUBENS, Peter Paul",0.25725454092025757,False
05240-12ecentr.jpg,Triptych of Haywain (central panel),"BOSCH, Hieronymus","BOSCH, Hieronymus",0.2982008159160614,"BOSCH, Hieronymus",0.2878296971321106,True
05255-11shipfo.jpg,The Ship of Fools,"BOSCH, Hieronymus","BOSCH, Hieronymus",0.32865601778030396,"BOSCH, Hieronymus",0.3225333094596863,True
14167-023love.jpg,Love as Folly,"FRAGONARD, Jean-Honoré","FRAGONARD, Jean-Honoré",0.3533582091331482,"FRAGONARD, Jean-Honoré",0.3052194118499756,True
42649-351seat.jpg,Young Woman Seated at the Virginals,"VERMEER, Johannes","VERMEER, Johannes",0.3189917206764221,"VERMEER, Johannes",0.30808931589126587,True
38565-gallery2.jpg,The Gallery of Archduke Leopold in Brussels,"TENIERS, David the Younger","TENIERS, David the Younger",0.28567051887512207,PINTURICCHIO,0.2859257459640503,False
34019-1renoi20.jpg,Woman with a Parasol in a Garden,"RENOIR, Pierre-Auguste","RENOIR, Pierre-Auguste",0.32693642377853394,"MONET, Claude",0.28664201498031616,False
06561-guards_f.jpg,Guards in a Forest Clearing,"BRUEGHEL, Jan the Elder","BRUEGHEL, Jan the Elder",0.32179680466651917,"BRUEGHEL, Jan the Elder",0.2853788137435913,True
30760-2selfpo1.jpg,Perugino's Self-Portrait,"PERUGINO, Pietro","PERUGINO, Pietro",0.31841835379600525,GIOTTO di Bondone,0.2846514582633972,False
